Symbol,Sector,BaselineETF
A,Life Sciences Tools & Services,IWB
AA,Metals & Mining,IWB
AAP,Retail,IWB
AAPL,Technology,XLK
ABC,,IWB
ABT,Health Care,XLV
ACAS,,IWB
ACC,,IWB
ACE,,IWB
ACGL,Insurance,IWB
ACM,Construction,IWB
ACN,Technology,XLK
ADBE,Technology,XLK
ADI,Semiconductors,IWB
ADM,Food Products,IWB
ADP,Professional Services,IWB
ADS,,IWB
ADSK,Technology,XLK
AEE,Utilities,XLU
AEO,Retail,IWB
AEP,Utilities,XLU
AES,Utilities,XLU
AET,,IWB
AFG,Insurance,IWB
AGCO,Machinery,IWB
AGN,,IWB
AGNC,Real Estate,XLRE
AGO,Insurance,IWB
AGP,,IWB
AHL,Insurance,IWB
AIG,Insurance,IWB
AIV,Real Estate,XLRE
AIZ,Insurance,IWB
AJG,Insurance,IWB
AKAM,Technology,XLK
AL,Trading Companies & Distributors,IWB
ALB,Chemicals,IWB
ALEX,Real Estate,XLRE
ALL,Insurance,IWB
ALR,,IWB
ALSN,Machinery,IWB
ALTR,Technology,XLK
ALXN,,IWB
AMAT,Semiconductors,IWB
AMCX,Media,IWB
AMD,Semiconductors,IWB
AME,Electrical Equipment,IWB
AMG,Financial Services,IWB
AMGN,Biotechnology,IWB
AMP,Financial Services,IWB
AMT,Real Estate,XLRE
AMTD,Financial Services,IWB
AMZN,Retail,IWB
AN,Retail,IWB
ANAT,,IWB
ANF,Retail,IWB
ANR,,IWB
ANSS,Technology,XLK
ANV,,IWB
AOL,,IWB
AON,Insurance,IWB
APA,Energy,XLE
APC,,IWB
APD,Chemicals,IWB
APH,Electrical Equipment,IWB
APKT,,IWB
APOL,,IWB
ARCC,Financial Services,IWB
ARE,Real Estate,XLRE
ARG,,IWB
ARIA,,IWB
ARW,Electrical Equipment,IWB
ASBC,,IWB
ASH,Chemicals,IWB
ASNA,,IWB
ATI,Aerospace & Defense,IWB
ATK,,IWB
ATML,,IWB
ATO,Utilities,XLU
ATR,Packaging,IWB
ATVI,,IWB
ATW,,IWB
AVB,Real Estate,XLRE
AVGO,Semiconductors,IWB
AVP,,IWB
AVT,Electrical Equipment,IWB
AVX,Food Products,IWB
AVY,Packaging,IWB
AWAY,,IWB
AWH,Health Care,XLV
AWI,Building,IWB
AWK,Utilities,XLU
AXP,Financial Services,IWB
AXS,Insurance,IWB
AZO,Retail,IWB
BA,Aerospace & Defense,IWB
BAC,Banking,IWB
BAH,Professional Services,IWB
BAX,Health Care,XLV
BBBY,Retail,IWB
BBT,Banking,IWB
BBY,Retail,IWB
BCR,,IWB
BDN,Real Estate,XLRE
BDX,Health Care,XLV
BEAM,Biotechnology,IWB
BEAV,,IWB
BEN,Financial Services,IWB
BF-B,Beverages,IWB
BG,Food Products,IWB
BGC,Financial Services,IWB
BHI,,IWB
BIG,,IWB
BIIB,Biotechnology,IWB
BIO,Life Sciences Tools & Services,IWB
BK,Financial Services,IWB
BKD,Health Care,XLV
BKU,Banking,IWB
BLK,Financial Services,IWB
BLL,,IWB
BMC,,IWB
BMR,Technology,XLK
BMRN,Biotechnology,IWB
BMS,,IWB
BMY,Pharmaceuticals,IWB
BOH,Banking,IWB
BOKF,Banking,IWB
BPOP,Banking,IWB
BR,Professional Services,IWB
BRCD,,IWB
BRCM,,IWB
BRE,,IWB
BRK-B,Financial Services,IWB
BRKR,Life Sciences Tools & Services,IWB
BRO,Insurance,IWB
BSX,Health Care,XLV
BTU,Energy,XLE
BWA,Auto Components,IWB
BWC,,IWB
BXP,Real Estate,XLRE
BYI,,IWB
C,Banking,IWB
CA,,IWB
CAG,Food Products,IWB
CAH,Health Care,XLV
CAM,,IWB
CAT,Machinery,IWB
CB,Insurance,IWB
CBG,,IWB
CBI,,IWB
CBL,Real Estate,XLRE
CBOE,Financial Services,IWB
CBS,,IWB
CBSH,Banking,IWB
CBT,Chemicals,IWB
CCE,,IWB
CCI,Real Estate,XLRE
CCK,Packaging,IWB
CCL,"Hotels, Restaurants & Leisure",IWB
CCO,Media,IWB
CDNS,Technology,XLK
CE,Chemicals,IWB
CELG,,IWB
CERN,,IWB
CF,Chemicals,IWB
CFFN,Banking,IWB
CFN,,IWB
CFR,Banking,IWB
CFX,,IWB
CHD,Consumer products,IWB
CHH,"Hotels, Restaurants & Leisure",IWB
CHK,,IWB
CHRW,Logistics & Transportation,IWB
CHS,,IWB
CHTR,Media,IWB
CI,Health Care,XLV
CIE,,IWB
CIM,Real Estate,XLRE
CINF,Insurance,IWB
CIT,,IWB
CL,Consumer products,IWB
CLF,Metals & Mining,IWB
CLGX,,IWB
CLH,Commercial Services & Supplies,IWB
CLI,,IWB
CLR,,IWB
CLWR,,IWB
CLX,Consumer products,IWB
CMA,Banking,IWB
CMC,Metals & Mining,IWB
CMCSA,Telecommunication,IWB
CME,Financial Services,IWB
CMG,"Hotels, Restaurants & Leisure",IWB
CMI,Machinery,IWB
CMP,Metals & Mining,IWB
CMS,Utilities,XLU
CNA,Insurance,IWB
CNH,Machinery,IWB
CNK,Media,IWB
CNP,Utilities,XLU
CNQR,,IWB
CNW,,IWB
CNX,Energy,XLE
COF,Financial Services,IWB
COG,,IWB
COH,,IWB
COL,,IWB
COO,Health Care,XLV
COP,Energy,XLE
COST,Retail,IWB
COV,,IWB
CPA,Airlines,IWB
CPB,Food Products,IWB
CPN,,IWB
CPRT,Commercial Services & Supplies,IWB
CPT,Real Estate,XLRE
CPWR,N/A,IWB
CR,Machinery,IWB
CREE,,IWB
CRI,"Textiles, Apparel & Luxury Goods",IWB
CRL,Life Sciences Tools & Services,IWB
CRM,Technology,XLK
CRR,,IWB
CRS,Aerospace & Defense,IWB
CSC,,IWB
CSCO,Communications,XLC
CSE,,IWB
CSL,Building,IWB
CSX,Road & Rail,IWB
CTAS,Commercial Services & Supplies,IWB
CTL,,IWB
CTRX,,IWB
CTSH,Technology,XLK
CTXS,,IWB
CVA,,IWB
CVC,,IWB
CVD,,IWB
CVH,,IWB
CVS,Health Care,XLV
CVX,Energy,XLE
CWH,Retail,IWB
CXO,,IWB
CXW,Commercial Services & Supplies,IWB
CY,,IWB
CYH,Health Care,XLV
CYN,Technology,XLK
CYT,,IWB
D,Utilities,XLU
DAL,Airlines,IWB
DBD,Technology,XLK
DCI,Machinery,IWB
DD,Chemicals,IWB
DDR,,IWB
DDS,Retail,IWB
DE,Machinery,IWB
DECK,"Textiles, Apparel & Luxury Goods",IWB
DEI,Real Estate,XLRE
DELL,Technology,XLK
DF,,IWB
DFS,Financial Services,IWB
DG,Retail,IWB
DGX,Health Care,XLV
DHI,Consumer products,IWB
DHR,Life Sciences Tools & Services,IWB
DIS,Media,IWB
DISCA,,IWB
DISH,,IWB
DKS,Retail,IWB
DLB,Technology,XLK
DLPH,,IWB
DLR,Real Estate,XLRE
DLTR,Retail,IWB
DNB,Professional Services,IWB
DNKN,,IWB
DNR,,IWB
DO,Energy,XLE
DOV,Machinery,IWB
DOW,Chemicals,IWB
DOX,Technology,XLK
DPS,,IWB
DRC,,IWB
DRE,,IWB
DRI,"Hotels, Restaurants & Leisure",IWB
DST,,IWB
DSW,,IWB
DTE,Utilities,XLU
DTV,,IWB
DUK,Utilities,XLU
DV,Media,IWB
DVA,Health Care,XLV
DVN,Energy,XLE
DWA,,IWB
EA,Media,IWB
EAT,"Hotels, Restaurants & Leisure",IWB
EBAY,Retail,IWB
ECL,Chemicals,IWB
ED,Utilities,XLU
EFX,Professional Services,IWB
EGN,,IWB
EIX,Utilities,XLU
EL,Consumer products,IWB
ELS,Real Estate,XLRE
EMC,,IWB
EMN,Chemicals,IWB
EMR,Electrical Equipment,IWB
ENDP,,IWB
ENH,,IWB
ENR,Consumer products,IWB
EOG,Energy,XLE
EQIX,Real Estate,XLRE
EQR,Real Estate,XLRE
EQT,Energy,XLE
ERIE,Insurance,IWB
ESI,Chemicals,IWB
ESRX,,IWB
ESS,Real Estate,XLRE
ETFC,,IWB
ETN,Electrical Equipment,IWB
ETR,Utilities,XLU
EV,,IWB
EW,Health Care,XLV
EWBC,Banking,IWB
EXC,Utilities,XLU
EXPD,Logistics & Transportation,IWB
EXPE,"Hotels, Restaurants & Leisure",IWB
EXR,Real Estate,XLRE
F,Automobiles,IWB
FAST,Trading Companies & Distributors,IWB
FB,,IWB
FBHS,,IWB
FCE-A,,IWB
FCNCA,Banking,IWB
FCS,,IWB
FCX,Metals & Mining,IWB
FDO,,IWB
FDS,Financial Services,IWB
FDX,Logistics & Transportation,IWB
FE,Utilities,XLU
FFIV,Communications,XLC
FHN,Banking,IWB
FII,,IWB
FIO,,IWB
FIS,Financial Services,IWB
FISV,Financial Services,IWB
FITB,Banking,IWB
FL,Retail,IWB
FLIR,,IWB
FLO,Food Products,IWB
FLR,Construction,IWB
FLS,Machinery,IWB
FLT,,IWB
FMC,Chemicals,IWB
FNF,Insurance,IWB
FNFG,,IWB
FOSL,"Textiles, Apparel & Luxury Goods",IWB
FRC,,IWB
FRT,Real Estate,XLRE
FRX,,IWB
FSL,,IWB
FTI,Energy,XLE
FTNT,Technology,XLK
FTR,,IWB
FULT,Banking,IWB
G,Professional Services,IWB
GAS,,IWB
GCI,,IWB
GD,Aerospace & Defense,IWB
GDI,,IWB
GE,Aerospace & Defense,IWB
GEF,Packaging,IWB
GES,Retail,IWB
GGG,Machinery,IWB
GGP,,IWB
GILD,Biotechnology,IWB
GIS,Food Products,IWB
GLNG,Energy,XLE
GLW,Electrical Equipment,IWB
GM,Automobiles,IWB
GMCR,,IWB
GME,Retail,IWB
